ID,SFS,Source,Time,Years ago,cropland Cao et al 2021,cropland Hyde v.3.5,tot_rice,grazing,rf_norice,tot_irri,rurc,urbc,Ne_median,Ne_2.5%,Ne_97.5%,Ne_12.5%,Ne_87.5%
Dryophytes flaviventris,folded,This study,1CE,1,2.199953719,1.402647261,0.226690811,0.00100809,1.17595645,0,152.97,0,9131.106649,8744.470051,10996.06446,8904.253415,9427.101271
Dryophytes flaviventris,folded,This study,1700CE,300,43.02291309,24.77553834,8.781794861,0.039523856,15.80448718,0.91088933,5820.14,270.9,9131.106649,8744.470051,10996.06446,8904.253415,9427.101271
Dryophytes flaviventris,folded,This study,2000BC,4024,1.763383261,0,0,0,0,0,97.9,0,9134.076663,8759.784698,11548.66355,8912.98839,9440.174784
Dryophytes flaviventris,folded,This study,4000BC,6000,0.405950216,0,0,0,0,0,62.66,0,9134.076663,8759.784698,11548.66355,8912.98839,9440.174784
Dryophytes flaviventris,folded,This study,8000BC,8000,0,0,0,0,0,0,25.66,0,9139.54258,8760.480881,47743.75916,8918.87801,9504.590716
Dryophytes immaculatus,folded,This study,1CE,1,39.9,12.02189002,0.548019385,1.171168112,11.47387063,0.546239559,2553.17,0.88,6008.353687,1289.812582,7704.744453,1357.267868,7234.242417
Dryophytes immaculatus,folded,This study,1700CE,300,51.34062589,16.17566192,1.932920504,2.021565621,14.24274141,1.91899423,4373.95,0,6008.353687,1289.812582,7704.744453,1357.267868,7234.242417
Dryophytes immaculatus,folded,This study,2000BC,4024,9.925683506,2.104372379,0.052611028,0.251529495,2.051761351,0.052611028,572.73,0,7251.404013,5441.850708,39002.36402,6016.657466,37516.49402
Dryophytes immaculatus,folded,This study,4000BC,6000,2.492,0.429677573,0.004355516,0.078638739,0.425322057,0.004355516,206.31,0,36096.65462,22668.87483,39438.46566,26873.58629,38396.94886
Dryophytes immaculatus,folded,This study,8000BC,8000,5.77792E-07,0,0,0,0,0,26.82,0,36645.37384,26243.86833,131362.6698,28438.68619,39002.36402
Dryophytes japonicus,folded,This study,1CE,1,0.788040914,0.616445671,0.03988995,0.059407787,0.57655572,0.002097998,127.64,0,151.5760592,125.8739119,859.7057774,132.7934152,229.9779795
Dryophytes japonicus,folded,This study,1700CE,300,12.00228692,7.067842876,1.414915709,0.256356198,5.646062272,0.133758648,2231.89,44.93,3429.306121,665.096669,4435.660498,704.3651172,3778.316634
Dryophytes japonicus,folded,This study,2000BC,4024,0.600876367,0.033148188,0.000436936,0.013236252,0.032711252,0.000436936,57.19,0,18783.6202,18170.54022,53830.70446,18291.5515,20257.89352
Dryophytes japonicus,folded,This study,4000BC,6000,0.138686458,0.006834486,0,0.005314586,0.006834486,0,32.94,0,97209.81416,49409.75371,106019.1563,96197.83674,100224.9654
Dryophytes japonicus,folded,This study,8000BC,8000,2.33256E-08,0,0,0,0,0,12.21,0,97267.17994,51149.07764,107269.5269,96226.73398,100366.7486
Dryophytes suweonensis,folded,This study,1CE,1,1.105875624,1.37438831,0.070477253,0.201242357,1.303911057,0.003648799,109.34,0,429.9422673,279.8376765,2639.647211,322.2932134,1321.1275
Dryophytes suweonensis,folded,This study,1700CE,300,16.7047736,10.93853131,1.684225383,0.51026241,9.239832499,0.225658927,2713.24,52.26,11080.89924,1355.57907,50783.45163,4962.516853,46604.00936
Dryophytes suweonensis,folded,This study,2000BC,4024,0.891202358,0.164196232,0.000147599,0.050467322,0.164048634,0.000147599,59.43,0,241844.9402,140351.7805,771604.7015,182612.1957,508925.4325
Dryophytes suweonensis,folded,This study,4000BC,6000,0.206550947,0.033427923,3.04322E-05,0.01717946,0.033397491,3.04322E-05,36.45,0,761420.7241,238690.7741,1259937.134,258602.3167,1178562.535
Dryophytes suweonensis,folded,This study,8000BC,8000,2.91261E-11,0,0,0,0,0,14.37,0,1162833.514,508917.4107,1757970.668,742361.2758,1504429.932
Dryophytes flaviventris,unfolded,This study,1CE,1,2.199953719,1.402647261,0.226690811,0.00100809,1.17595645,0,152.97,0,4285714.286,4285714.286,4285714.286,4285714.286,4285714.286
Dryophytes flaviventris,unfolded,This study,1700CE,300,43.02291309,24.77553834,8.781794861,0.039523856,15.80448718,0.91088933,5820.14,270.9,4285714.286,4285714.286,4285714.286,4285714.286,4285714.286
Dryophytes flaviventris,unfolded,This study,2000BC,4024,1.763383261,0,0,0,0,0,97.9,0,4285714.286,4285714.286,4285714.286,4285714.286,4285714.286
Dryophytes flaviventris,unfolded,This study,4000BC,6000,0.405950216,0,0,0,0,0,62.66,0,4285714.286,4285714.286,4285714.286,4285714.286,4285714.286
Dryophytes flaviventris,unfolded,This study,8000BC,8000,0,0,0,0,0,0,25.66,0,4285714.286,4285714.286,4285714.286,4285714.286,4285714.286
Dryophytes immaculatus,unfolded,This study,1CE,1,39.9,12.02189002,0.548019385,1.171168112,11.47387063,0.546239559,2553.17,0.88,49350.62045,36048.55537,169414.2115,39233.31669,139287.0585
Dryophytes immaculatus,unfolded,This study,1700CE,300,51.34062589,16.17566192,1.932920504,2.021565621,14.24274141,1.91899423,4373.95,0,49350.62045,36048.55537,169414.2115,39233.31669,139287.0585
Dryophytes immaculatus,unfolded,This study,2000BC,4024,9.925683506,2.104372379,0.052611028,0.251529495,2.051761351,0.052611028,572.73,0,205036.5811,53525.72941,273464.7115,59412.7655,256175.7951
Dryophytes immaculatus,unfolded,This study,4000BC,6000,2.492,0.429677573,0.004355516,0.078638739,0.425322057,0.004355516,206.31,0,226970.273,97205.03489,338029.4437,138471.4217,292393.0759
Dryophytes immaculatus,unfolded,This study,8000BC,8000,5.77792E-07,0,0,0,0,0,26.82,0,227802.204,99129.30443,348248.2547,139287.0585,293715.0864
Dryophytes japonicus,unfolded,This study,1CE,1,0.788040914,0.616445671,0.03988995,0.059407787,0.57655572,0.002097998,127.64,0,20083.72488,11805.40948,45673.43394,18129.03313,38601.26677
Dryophytes japonicus,unfolded,This study,1700CE,300,12.00228692,7.067842876,1.414915709,0.256356198,5.646062272,0.133758648,2231.89,44.93,20083.72488,11805.40948,45673.43394,18129.03313,38601.26677
Dryophytes japonicus,unfolded,This study,2000BC,4024,0.600876367,0.033148188,0.000436936,0.013236252,0.032711252,0.000436936,57.19,0,29426.08879,18164.25437,96077.70102,18267.73598,68678.45626
Dryophytes japonicus,unfolded,This study,4000BC,6000,0.138686458,0.006834486,0,0.005314586,0.006834486,0,32.94,0,96099.83535,26319.89661,353693.1719,31485.3918,123741.7675
Dryophytes japonicus,unfolded,This study,8000BC,8000,2.33256E-08,0,0,0,0,0,12.21,0,177357.7554,44391.9863,510915.3384,97147.33305,509060.015
Dryophytes suweonensis,unfolded,This study,1CE,1,1.105875624,1.37438831,0.070477253,0.201242357,1.303911057,0.003648799,109.34,0,4.20618114,0.511908318,50.00928697,1.299793663,13.3910883
Dryophytes suweonensis,unfolded,This study,1700CE,300,16.7047736,10.93853131,1.684225383,0.51026241,9.239832499,0.225658927,2713.24,52.26,4006.314232,861.2689064,5443.184408,2736.647542,4676.1649
Dryophytes suweonensis,unfolded,This study,2000BC,4024,0.891202358,0.164196232,0.000147599,0.050467322,0.164048634,0.000147599,59.43,0,24217.57347,18419.06506,83167.47582,21944.42429,77840.22972
Dryophytes suweonensis,unfolded,This study,4000BC,6000,0.206550947,0.033427923,3.04322E-05,0.01717946,0.033397491,3.04322E-05,36.45,0,113413.6812,25185.23065,131862.2489,75706.17094,125780.2734
Dryophytes suweonensis,unfolded,This study,8000BC,8000,2.91261E-11,0,0,0,0,0,14.37,0,115348.7723,36159.42615,133820.6473,76625.99981,126574.4699
